age,country_citizenship,country_residence,marital_status,dependents,education_level,field_of_study,eca_done,total_work_exp,relevant_work_exp,current_employment_status,teer_category,job_offer,employer_sponsorship,offered_salary_cad,english_test,language_overall_score,french_proficiency,annual_income_cad,settlement_funds_cad,outstanding_debt_cad,financial_sponsor,previous_canada_visa,previous_visa_refusal,previous_immigration_violation,previous_canada_work,previous_canada_study,criminal_record,medical_flag,visa_outcome,settlement_funds_adequate,debt_to_income_ratio,relevant_exp_ratio,financial_strength_score
56,India,Canada,Married,0,Diploma,Business,1,2,1,Employed,TEER 4/5,1,0,63495,IELTS,6.5,No French,32340,56628,7372,Family,1,0,0,0,0,0,1,0,1,0.0769,0.3333,100.0
46,India,Philippines,Single,0,Diploma,Information Technology,0,2,0,Employed,TEER 1,1,1,72804,IELTS,5.5,No French,63872,11142,15453,Self,0,0,0,0,0,0,0,1,0,0.1131,0.0,73.15
32,India,Germany,Single,1,Bachelor's,Computer Science,1,8,8,Employed,TEER 2,1,1,60313,IELTS,8.7,Basic,74708,7973,10704,Self,0,0,0,0,0,0,0,1,0,0.0793,0.8889,67.55
60,India,China,Married,0,Bachelor's,Information Technology,1,5,0,Employed,TEER 2,1,0,95552,CELPIP,8.8,No French,44299,38730,3802,Self,1,0,0,0,1,0,0,1,1,0.0272,0.0,100.0
25,China,UK,Divorced,1,Diploma,Engineering,1,5,5,Employed,TEER 1,0,0,0,IELTS,8.3,No French,8000,8069,40657,Self,0,0,0,0,0,0,0,1,0,5.0815,0.8333,12.23
38,Nigeria,Philippines,Married,4,Bachelor's,Information Technology,1,5,3,Employed,TEER 1,0,0,0,IELTS,5.8,No French,41019,4053,8699,Self,1,0,0,1,0,0,0,1,0,0.2121,0.5,42.61
56,Pakistan,USA,Single,0,Bachelor's,Information Technology,1,3,1,Self-employed,TEER 2,0,0,0,CELPIP,7.8,No French,45648,27139,13509,Self,0,0,0,1,1,0,0,1,1,0.2959,0.25,98.0
36,USA,Nigeria,Single,0,PhD,Computer Science,1,1,1,Employed,TEER 1,1,1,38162,CELPIP,8.8,Basic,40344,9852,8861,Other,1,0,0,0,1,0,0,1,0,0.1129,0.5,60.93
40,Philippines,Nigeria,Divorced,0,PhD,Information Technology,1,6,6,Unemployed,TEER 1,0,0,0,IELTS,7.1,No French,51726,7712,36387,Self,1,0,0,1,0,0,0,1,0,0.7034,0.8571,51.96
28,Philippines,Philippines,Single,0,Master's,Engineering,1,8,3,Self-employed,TEER 2,0,0,0,Other,6.3,Basic,35461,102888,13779,Self,1,0,0,1,0,0,0,1,1,0.3886,0.3333,100.0
28,Philippines,Canada,Single,2,Diploma,Engineering,1,5,2,Employed,TEER 2,1,1,87432,CELPIP,7.9,Intermediate,61777,11628,5862,Self,1,0,0,0,0,0,0,1,0,0.0393,0.3333,65.93
41,China,UK,Married,0,High School,Information Technology,0,5,5,Employed,TEER 1,0,0,0,IELTS,8.8,No French,21665,61440,3656,Self,0,0,0,0,0,0,0,0,1,0.1687,0.8333,100.0
53,Philippines,India,Married,0,Bachelor's,Business,1,3,2,Employed,TEER 0,1,1,92891,Other,5.7,Basic,69736,7907,9169,Self,0,1,0,0,0,0,1,0,0,0.0564,0.5,69.29
57,Brazil,India,Married,1,Diploma,Finance,1,3,2,Employed,TEER 1,1,1,75595,IELTS,7.9,No French,76001,45728,7137,Family,0,0,0,1,0,0,0,1,1,0.0471,0.5,100.0
41,Nigeria,USA,Single,0,Bachelor's,Business,1,6,0,Employed,TEER 1,0,0,0,CELPIP,8.1,No French,26738,20429,7939,Self,1,1,0,1,0,0,0,0,1,0.2969,0.0,75.79
20,China,Canada,Single,1,Master's,Information Technology,1,0,0,Self-employed,TEER 1,0,0,0,CELPIP,7.9,No French,26728,5046,3360,Family,0,0,0,0,0,0,0,0,0,0.1257,0.0,42.58
39,Nigeria,Brazil,Divorced,0,Master's,Business,1,7,1,Employed,TEER 1,1,1,98393,IELTS,8.1,No French,53213,36069,4479,Self,1,0,0,0,0,0,0,1,1,0.0295,0.125,100.0
19,Philippines,Brazil,Single,2,Master's,Computer Science,0,0,0,Employed,TEER 0,1,1,63134,IELTS,8.0,Advanced,21255,58657,6533,Other,0,0,0,1,0,0,0,1,1,0.0774,0.0,100.0
41,France,China,Married,3,Bachelor's,Computer Science,0,8,6,Employed,TEER 1,0,0,0,Other,6.0,No French,35147,7448,14624,Self,0,0,0,0,1,0,0,0,0,0.4161,0.6667,42.03
61,UK,UK,Married,1,Bachelor's,Information Technology,1,8,2,Employed,TEER 1,0,0,0,IELTS,6.4,No French,67050,35328,11514,Self,0,0,0,0,1,0,0,0,1,0.1717,0.2222,100.0
47,India,UK,Married,3,Bachelor's,Business,1,8,0,Employed,TEER 1,1,1,70691,IELTS,8.0,No French,59752,17722,1010,Self,1,0,1,0,0,0,0,0,0,0.0077,0.0,70.7
55,Pakistan,Nigeria,Single,0,High School,Information Technology,1,9,1,Employed,TEER 1,1,1,109377,IELTS,5.6,No French,84603,38047,2254,Other,0,0,1,0,0,0,0,0,1,0.0116,0.1,100.0
