age,country_citizenship,country_residence,marital_status,dependents,education_level,field_of_study,eca_done,total_work_exp,relevant_work_exp,current_employment_status,teer_category,job_offer,employer_sponsorship,offered_salary_cad,english_test,language_overall_score,french_proficiency,annual_income_cad,settlement_funds_cad,outstanding_debt_cad,financial_sponsor,previous_canada_visa,previous_visa_refusal,previous_immigration_violation,previous_canada_work,previous_canada_study,criminal_record,medical_flag,visa_outcome
56,India,Canada,Married,0,Diploma,Business,1,2,1,Employed,TEER 4/5,1,0,63495,IELTS,6.5,No French,32340,56628,7372,Family,1,0,0,0,0,0,1,0
46,India,Philippines,Single,0,Diploma,Information Technology,0,2,0,Employed,TEER 1,1,1,72804,IELTS,5.5,No French,63872,11142,15453,Self,0,0,0,0,0,0,0,1
32,India,Germany,Single,1,Bachelor's,Computer Science,1,8,8,Employed,TEER 2,1,1,60313,IELTS,8.7,Basic,74708,7973,10704,Self,0,0,0,0,0,0,0,1
60,India,China,Married,0,Bachelor's,Information Technology,1,5,0,Employed,TEER 2,1,0,95552,CELPIP,8.8,No French,44299,38730,3802,Self,1,0,0,0,1,0,0,1
25,China,UK,Divorced,1,Diploma,Engineering,1,5,5,Employed,TEER 1,0,0,0,IELTS,8.3,No French,8000,8069,40657,Self,0,0,0,0,0,0,0,1
38,Nigeria,Philippines,Married,4,Bachelor's,Information Technology,1,5,3,Employed,TEER 1,0,0,0,IELTS,5.8,No French,41019,4053,8699,Self,1,0,0,1,0,0,0,1
56,Pakistan,USA,Single,0,Bachelor's,Information Technology,1,3,1,Self-employed,TEER 2,0,0,0,CELPIP,7.8,No French,45648,27139,13509,Self,0,0,0,1,1,0,0,1
36,USA,Nigeria,Single,0,PhD,Computer Science,1,1,1,Employed,TEER 1,1,1,38162,CELPIP,8.8,Basic,40344,9852,8861,Other,1,0,0,0,1,0,0,1
40,Philippines,Nigeria,Divorced,0,PhD,Information Technology,1,6,6,Unemployed,TEER 1,0,0,0,IELTS,7.1,No French,51726,7712,36387,Self,1,0,0,1,0,0,0,1
28,Philippines,Philippines,Single,0,Master's,Engineering,1,8,3,Self-employed,TEER 2,0,0,0,Other,6.3,Basic,35461,102888,13779,Self,1,0,0,1,0,0,0,1
28,Philippines,Canada,Single,2,Diploma,Engineering,1,5,2,Employed,TEER 2,1,1,87432,CELPIP,7.9,Intermediate,61777,11628,5862,Self,1,0,0,0,0,0,0,1
41,China,UK,Married,0,High School,Information Technology,0,5,5,Employed,TEER 1,0,0,0,IELTS,8.8,No French,21665,61440,3656,Self,0,0,0,0,0,0,0,0
53,Philippines,India,Married,0,Bachelor's,Business,1,3,2,Employed,TEER 0,1,1,92891,Other,5.7,Basic,69736,7907,9169,Self,0,1,0,0,0,0,1,0
57,Brazil,India,Married,1,Diploma,Finance,1,3,2,Employed,TEER 1,1,1,75595,IELTS,7.9,No French,76001,45728,7137,Family,0,0,0,1,0,0,0,1
41,Nigeria,USA,Single,0,Bachelor's,Business,1,6,0,Employed,TEER 1,0,0,0,CELPIP,8.1,No French,26738,20429,7939,Self,1,1,0,1,0,0,0,0
20,China,Canada,Single,1,Master's,Information Technology,1,0,0,Self-employed,TEER 1,0,0,0,CELPIP,7.9,No French,26728,5046,3360,Family,0,0,0,0,0,0,0,0
39,Nigeria,Brazil,Divorced,0,Master's,Business,1,7,1,Employed,TEER 1,1,1,98393,IELTS,8.1,No French,53213,36069,4479,Self,1,0,0,0,0,0,0,1
19,Philippines,Brazil,Single,2,Master's,Computer Science,0,0,0,Employed,TEER 0,1,1,63134,IELTS,8.0,Advanced,21255,58657,6533,Other,0,0,0,1,0,0,0,1
41,France,China,Married,3,Bachelor's,Computer Science,0,8,6,Employed,TEER 1,0,0,0,Other,6.0,No French,35147,7448,14624,Self,0,0,0,0,1,0,0,0
61,UK,UK,Married,1,Bachelor's,Information Technology,1,8,2,Employed,TEER 1,0,0,0,IELTS,6.4,No French,67050,35328,11514,Self,0,0,0,0,1,0,0,0
47,India,UK,Married,3,Bachelor's,Business,1,8,0,Employed,TEER 1,1,1,70691,IELTS,8.0,No French,59752,17722,1010,Self,1,0,1,0,0,0,0,0
55,Pakistan,Nigeria,Single,0,High School,Information Technology,1,9,1,Employed,TEER 1,1,1,109377,IELTS,5.6,No French,84603,38047,2254,Other,0,0,1,0,0,0,0,0
19,Nigeria,UAE,Single,0,Bachelor's,Computer Science,1,0,0,Employed,TEER 1,1,1,90599,Other,8.0,No French,48415,34287,216,Family,1,1,0,0,0,0,0,1
38,Pakistan,USA,Married,1,High School,Computer Science,0,3,1,Employed,TEER 3,0,0,0,No Test,4.6,Basic,32783,3674,63,Self,1,0,0,0,0,0,0,0
50,USA,India,Married,1,Bachelor's,Business,1,4,1,Employed,TEER 0,1,0,64790,IELTS,6.5,No French,46024,7922,2032,Self,1,0,0,0,0,0,1,0
29,Nigeria,USA,Common-Law,0,Bachelor's,Healthcare,1,5,5,Employed,TEER 2,1,0,86200,Other,7.9,Intermediate,41988,18920,12848,Employer,1,0,0,1,0,0,0,1
39,India,Brazil,Single,0,Bachelor's,Information Technology,1,6,0,Employed,TEER 3,1,1,58056,IELTS,7.6,Basic,42268,70799,18809,Self,0,0,0,0,0,0,0,1
61,Philippines,Brazil,Single,0,Master's,Engineering,1,7,6,Employed,TEER 1,0,0,0,No Test,4.6,No French,44523,13466,3977,Self,0,0,0,0,0,0,0,0
42,China,Philippines,Common-Law,0,Bachelor's,Engineering,1,4,1,Self-employed,TEER 3,0,0,0,IELTS,7.4,No French,26364,27780,6626,Employer,0,1,0,0,1,0,0,0
44,Brazil,China,Married,0,Master's,Healthcare,1,6,6,Self-employed,TEER 0,0,0,0,IELTS,9.1,No French,50644,3303,9794,Employer,0,0,0,0,0,0,0,1
59,Philippines,UK,Common-Law,2,Diploma,Information Technology,1,13,11,Employed,TEER 1,1,1,99002,IELTS,7.2,Basic,16826,34044,24450,Family,1,0,0,0,1,0,0,1
45,India,Germany,Single,0,Bachelor's,Business,1,3,3,Employed,TEER 1,1,1,105617,IELTS,8.0,No French,30663,26099,19528,Other,1,0,0,0,0,0,0,1
33,USA,USA,Married,0,Bachelor's,Information Technology,1,7,7,Employed,TEER 0,0,0,0,IELTS,5.6,No French,42622,34416,471,Self,0,0,0,0,0,0,0,1
32,Vietnam,Brazil,Married,1,Bachelor's,Healthcare,1,7,7,Employed,TEER 1,0,0,0,CELPIP,5.8,No French,8000,61757,2281,Self,0,1,0,0,0,0,0,0
61,China,UAE,Married,1,PhD,Computer Science,0,2,0,Self-employed,TEER 1,0,0,0,IELTS,5.8,No French,60379,6960,403,Family,1,0,0,0,0,0,0,0
20,India,Nigeria,Single,2,Diploma,Information Technology,1,0,0,Employed,TEER 2,0,0,0,No Test,4.8,No French,8000,10581,7668,Family,0,1,0,1,0,0,0,0
54,Philippines,India,Single,1,Bachelor's,Information Technology,1,2,1,Employed,TEER 3,0,0,0,CELPIP,6.9,No French,58391,139703,9916,Family,0,0,0,0,0,0,0,0
24,India,China,Married,0,Bachelor's,Engineering,1,4,4,Employed,TEER 0,0,0,0,CELPIP,6.4,No French,19143,7248,2948,Employer,0,0,0,0,0,0,0,1
38,France,UAE,Single,2,Master's,Computer Science,1,3,3,Employed,TEER 1,0,0,0,IELTS,8.5,No French,36901,34880,15385,Self,0,0,0,0,0,0,0,1
26,India,China,Married,1,Diploma,Business,1,3,0,Employed,TEER 1,0,0,0,Other,6.2,No French,55382,35281,4823,Self,0,0,0,1,0,0,0,1
56,China,Philippines,Divorced,0,Master's,Computer Science,0,1,0,Employed,TEER 1,1,0,95984,CELPIP,6.5,No French,88962,31720,51410,Self,0,0,1,1,0,0,0,0
35,Philippines,Germany,Single,1,Bachelor's,Healthcare,1,7,3,Employed,TEER 2,1,0,88763,Other,7.2,Basic,47329,9451,3,Family,0,1,0,0,0,0,0,1
21,China,Brazil,Married,3,Diploma,Business,1,1,1,Employed,TEER 1,0,0,0,No Test,4.6,No French,8000,9056,927,Self,1,0,1,0,0,0,0,0
42,Brazil,Nigeria,Single,0,Bachelor's,Engineering,1,9,4,Employed,TEER 0,1,1,87754,IELTS,7.8,No French,64073,30440,2873,Employer,0,0,0,0,0,0,1,1
