age,salary,experience,ielts_score,bank_balance,education,job_role,sponsorship,international_experience,criminal_record,employment_type,country,visa_status
36,73883,1,8.3,49931,Diploma,Software Engineer,No,No,Yes,Contract,Australia,Rejected
39,134639,8,8.3,53164,Masters,Data Scientist,No,No,No,Full-Time,Canada,Approved
31,62903,1,6.7,28674,Diploma,Software Engineer,No,Yes,No,Full-Time,Germany,Rejected
28,58947,10,8.4,56888,Masters,Cloud Engineer,No,Yes,No,Full-Time,USA,Approved
33,60842,14,6.0,25918,PhD,AI Engineer,Yes,Yes,No,Contract,USA,Approved
25,149438,1,6.0,91186,Masters,AI Engineer,Yes,Yes,No,Contract,UK,Approved
40,114615,8,6.4,85119,Masters,AI Engineer,No,Yes,Yes,Contract,Australia,Rejected
43,108433,6,6.5,55873,PhD,Cloud Engineer,No,No,No,Full-Time,Australia,Approved
33,94914,11,8.4,24320,Bachelors,Cloud Engineer,Yes,No,Yes,Contract,USA,Approved
38,107736,14,6.1,20263,Diploma,Software Engineer,Yes,Yes,No,Contract,Germany,Approved
41,118376,5,5.9,35388,Masters,Software Engineer,Yes,Yes,No,Contract,UK,Approved
22,135542,0,5.8,99757,Diploma,Cloud Engineer,Yes,No,Yes,Full-Time,Germany,Rejected
32,111704,6,6.3,95288,PhD,AI Engineer,Yes,No,No,Contract,UK,Approved
30,85823,15,7.7,30020,Bachelors,Cloud Engineer,No,Yes,Yes,Full-Time,USA,Approved
33,143166,10,5.9,87287,Bachelors,Data Scientist,Yes,Yes,No,Contract,USA,Approved
34,142112,11,8.6,30163,Diploma,AI Engineer,Yes,No,No,Contract,UK,Approved
25,131317,5,7.9,89153,Bachelors,Data Scientist,No,Yes,Yes,Contract,UK,Approved
38,102629,14,7.1,29934,Bachelors,Data Scientist,Yes,No,Yes,Full-Time,Canada,Approved
41,103953,7,7.1,74523,Diploma,AI Engineer,Yes,Yes,No,Full-Time,Germany,Approved
28,89705,14,5.9,80780,Diploma,Software Engineer,No,Yes,No,Contract,USA,Approved
32,149655,5,7.0,59824,Bachelors,Backend Developer,No,Yes,Yes,Contract,Germany,Approved
29,123008,4,7.1,82408,Masters,Backend Developer,No,Yes,Yes,Full-Time,Germany,Approved
23,66631,8,6.9,20903,PhD,Data Scientist,Yes,Yes,Yes,Full-Time,UK,Approved
